6239 = number of voxels
82 = number of ROIs
X-MNI,Y-MNI,Z-MNI,Lobe,Structure,Brodmann area,ROI-number [1...0] (if zero then not included in any ROI)
-40,-5,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,81
-40,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,81
-40,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,79
-35,-5,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,81
-35,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,79
-35,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,79
-30,-5,-45,Limbic Lobe,Inferior Temporal Gyrus,Brodmann area 20,55
-30,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,55
-30,10,-45,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,79
-25,0,-45,Limbic Lobe,Uncus,Brodmann area 20,55
-25,5,-45,Limbic Lobe,Uncus,Brodmann area 38,55
25,0,-45,Limbic Lobe,Uncus,Brodmann area 20,56
25,5,-45,Limbic Lobe,Uncus,Brodmann area 38,56
25,10,-45,Temporal Lobe,*,Brodmann area 38,82
30,-5,-45,Limbic Lobe,Uncus,Brodmann area 20,56
30,0,-45,Limbic Lobe,Uncus,Brodmann area 20,56
35,-5,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,56
35,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,82
35,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,82
35,10,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,82
35,15,-45,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,80
40,-5,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,82
40,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,82
40,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,82
40,10,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,82
45,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,82
-55,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,81
-50,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,81
-50,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,81
-50,0,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,81
-50,5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,81
-45,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,81
-45,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,81
-45,0,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,81
-45,5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,81
-45,10,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,81
-40,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,81
-40,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,81
-40,0,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,81
-40,5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,81
