Type,Latency
S 21,206
S 41,933
S 21,4507
S 41,5545
S 21,8808
S 41,9850
S 21,13109
S 41,14321
S 21,17410
S 41,18249
S 21,21711
S 41,22816
S 31,25498
S 21,26012
S 41,26868
S 21,30313
S 41,30850
S 21,34614
S 41,35150
S 21,38915
S 41,39805
S 21,43216
S 41,44169
S 21,47517
S 41,48944
S 21,51818
S 41,52570
S 21,56119
S 41,57170
S 21,60420
S 41,61359
S 21,64721
S 41,65851
S 21,69022
S 41,70028
S 21,73323
S 41,74031
S 21,77624
S 41,78564
S 21,81925
S 41,82825
S 21,86226
S 41,87131
S 21,90527
S 41,91570
S 42,94563
S 21,94828
S 41,95589
S 21,99129
S 41,100668
S 21,103430
S 41,103436
S 21,107731
S 41,108742
S 21,112032
S 41,112874
S 21,116333
S 41,117434
S 21,120634
S 41,121470
S 21,124935
S 41,125680
S 21,129236
S 41,130226
S 21,133537
S 41,133979
S 21,137838
S 41,138639
S 21,142139
S 41,144033
S 21,146440
S 41,147482
S 21,150741
S 41,151702
S 21,155042
S 41,156260
S 21,159343
S 41,160251
S 21,163644
S 41,165150
S 21,167945
S 41,168936
S 21,172246
S 41,173561
S 21,176547
S 41,177261
S 21,180848
S 41,181702
S 21,185149
S 41,185873
S 21,189450
S 41,190257
S 21,193751
S 41,194798
S 21,198052
S 41,198984
S 21,202353
S 41,203408
S 21,206654
S 41,207396
S 21,210955
S 41,211428
S 21,215256
S 41,216033
S 21,219557
S 41,220323
S 21,223858
S 41,224941
S 21,228159
S 41,228990
S 21,232460
S 41,233389
S 21,236761
S 41,237692
S 21,241062
S 41,242056
S 21,245363
S 41,246198
S 21,249664
S 41,250367
S 21,253965
S 41,254753
S 21,258266
S 41,258924
S 21,262567
S 41,263200
S 21,266868
S 41,267964
S 21,271169
S 41,272136
S 21,275470
S 41,276287
S 21,279771
S 41,280729
S 21,284072
S 41,285314
S 21,288373
S 41,288836
S 21,292674
S 41,293911
S 21,296975
S 41,297802
S 21,301276
S 41,302397
S 21,305577
S 41,306182
S 21,309878
S 41,310564
