Type,Latency
S 11,206
S 31,961
S  1,3825
S 11,4507
S 31,5125
S  1,8109
S 11,8808
S 31,9563
S  1,12409
S 11,13109
S 31,13797
S  1,16710
S 11,17410
S 31,18299
S  1,21011
S 11,21711
S 31,22628
S  1,25312
S 11,26012
S 31,26846
S  1,29613
S 11,30313
S 31,31035
S  1,33914
S 11,34614
S 31,35405
S  1,38232
S 11,38915
S 31,39581
S  1,42516
S 11,43216
S 31,43990
S  1,46817
S 11,47517
S 31,48270
S  1,51118
S 11,51818
S 31,52567
S  1,55419
S 11,56119
S 31,56946
S  1,59737
S 11,60420
S 31,61238
S  1,64021
S 11,64721
S 31,65542
S  1,68322
S 11,69022
S 31,69691
S  1,72624
S 11,73323
S 31,73996
S  1,76924
S 11,77624
S 31,78458
S  1,81225
S 11,81925
S 31,82760
S  1,85526
S 11,86226
S 31,87005
S  1,89844
S 11,90527
S 31,91573
S  1,94128
S 11,94828
S 31,96020
S  1,98429
S 11,99129
S 31,100115
S  1,102730
S 11,103430
S 31,104198
S  1,107031
S 11,107731
S 31,108779
S  1,111332
S 11,112032
S 31,112734
S  1,115633
S 11,116333
S 31,117254
S  1,119934
S 11,120634
S 31,121660
S  1,124235
S 11,124935
S 31,125848
S  1,128536
S 11,129236
S 31,131223
S  1,132837
S 11,133537
S 31,135306
S  1,137138
S 11,137838
S 31,138577
S  1,141439
S 11,142139
S 31,143079
S  1,145740
S 11,146440
S 31,147314
S  1,150042
S 11,150741
S 31,151860
S  1,154342
S 11,155042
S 31,156056
S  1,158643
S 11,159343
S 31,160229
S  1,162944
S 11,163644
S 31,164503
S  1,167244
S 11,167945
S 31,168729
S  1,171547
S 11,172246
S 31,173533
S  1,175847
S 11,176547
S 31,177284
S  1,180149
S 11,180848
S  1,184449
S 11,185149
S 31,185930
S  1,188751
S 11,189450
S 31,190529
S  1,193050
S 11,193751
S 31,194932
S  1,197369
S 11,198052
S 31,199104
S  1,201653
S 11,202353
S 31,203041
S  1,205955
S 11,206654
S 31,207332
S  1,210255
S 11,210955
S 31,211772
S  1,214556
S 11,215256
S 31,216218
S  1,218857
S 11,219557
S 31,220425
S  1,223158
S 11,223858
S  1,227459
S 11,228159
S 31,229031
S  1,231761
S 11,232460
S 31,233383
S  1,236078
S 11,236761
S 31,237743
S  1,240380
S 11,241062
S 31,241899
S  1,244664
S 11,245363
S 31,246178
S  1,248981
S 11,249664
S 31,250751
S  1,253266
S 11,253965
S  1,257566
S 11,258266
S 31,260017
S  1,261867
S 11,262567
S  1,266168
S 11,266868
S 31,268815
S  1,270470
S 11,271169
S 31,272227
S  1,274770
S 11,275470
S 31,276495
S  1,279072
S 11,279771
S 31,280540
S  1,283372
S 11,284072
S 31,285348
S  1,287674
S 11,288373
S 31,289313
S  1,291973
S 11,292674
S 31,293969
S  1,296274
