Type,Latency
S 22,206
S 42,810
S 22,4507
S 22,8808
S 42,9505
S 22,13109
S 42,13836
S 22,17410
S 42,18211
S 22,21711
S 42,22867
S 22,26012
S 42,26667
S 22,30313
S 42,31214
S 22,34614
S 42,36225
S 22,38915
S 22,43216
S 42,44075
S 22,47517
S 22,51818
S 22,56119
S 42,57116
S 22,60420
S 42,61401
S 22,64721
S 42,65805
S 42,69001
S 22,69022
S 22,73323
S 42,74759
S 22,77624
S 42,78437
S 22,81925
S 42,82811
S 22,86226
S 42,87856
S 22,90527
S 42,91204
S 22,94828
S 42,95841
S 22,99129
S 42,99951
S 22,103430
S 42,104290
S 22,107731
S 42,108932
S 22,112032
S 42,113003
S 22,116333
S 42,117361
S 22,120634
S 42,122510
S 22,124935
S 42,125770
S 22,129236
S 42,130083
S 22,133537
S 42,134237
S 22,137838
S 42,138894
S 22,142139
S 42,143319
S 22,146440
S 42,147308
S 22,150741
S 42,152322
S 22,155042
S 42,155946
S 22,159343
S 42,160262
S 22,163644
S 42,164533
