Tipo_Evento,Tiempo_total_Sample,Tiempo_total_Segundos,Tiempo_Relativo_Epoca_Segundos,Tiempo_Relativo_Epoca_sample
S 22,206,4.9045338293420135,0.201171875,206
S 42,1815,43.212276214833764,1.7724609375,1815
S 22,4507,107.30453382934202,0.201171875,206
S 42,6111,145.4932341315973,1.767578125,1810
S 22,8808,209.704533829342,0.201171875,206
S 22,13109,312.104533829342,0.201171875,206
S 42,15927,379.196651941409,2.953125,3024
S 22,17410,414.50453382934205,0.201171875,206
S 42,19160,456.1692629621018,1.91015625,1956
S 22,21711,516.9045338293421,0.201171875,206
S 22,26012,619.3045338293421,0.201171875,206
S 22,30313,721.704533829342,0.201171875,206
S 42,31936,760.3455940478958,1.7861328125,1829
S 22,34614,824.104533829342,0.201171875,206
S 22,38915,926.5045338293421,0.201171875,206
S 22,43216,1028.904533829342,0.201171875,206
S 22,47517,1131.304533829342,0.201171875,206
S 22,51818,1233.704533829342,0.201171875,206
S 22,56119,1336.104533829342,0.201171875,206
S 22,60420,1438.5045338293419,0.201171875,206
S 42,61688,1468.6936061381073,1.439453125,1474
S 22,64721,1540.904533829342,0.201171875,206
S 22,69022,1643.304533829342,0.201171875,206
S 22,73323,1745.704533829342,0.201171875,206
S 22,77624,1848.104533829342,0.201171875,206
S 42,79112,1883.5314578005114,1.654296875,1694
S 22,81925,1950.504533829342,0.201171875,206
S 22,86226,2052.904533829342,0.201171875,206
S 22,90527,2155.304533829342,0.201171875,206
S 22,94828,2257.704533829342,0.201171875,206
S 22,99129,2360.104533829342,0.201171875,206
S 22,103430,2462.504533829342,0.201171875,206
S 22,107731,2564.9045338293417,0.201171875,206
S 22,112032,2667.304533829342,0.201171875,206
S 22,116333,2769.704533829342,0.201171875,206
S 22,120634,2872.104533829342,0.201171875,206
S 22,124935,2974.504533829342,0.201171875,206
S 22,129236,3076.904533829342,0.201171875,206
S 22,133537,3179.3045338293423,0.201171875,206
S 22,137838,3281.704533829342,0.201171875,206
S 22,142139,3384.104533829342,0.201171875,206
S 42,143586,3418.5553127179724,1.6142578125,1653
S 22,146440,3486.504533829342,0.201171875,206
S 22,150741,3588.904533829342,0.201171875,206
S 22,155042,3691.3045338293423,0.201171875,206
S 22,159343,3793.7045338293424,0.201171875,206
S 22,163644,3896.1045338293416,0.201171875,206
S 22,167945,3998.5045338293417,0.201171875,206
S 22,172246,4100.904533829342,0.201171875,206
S 22,176547,4203.304533829342,0.201171875,206
S 22,180848,4305.704533829342,0.201171875,206
S 22,185149,4408.1045338293425,0.201171875,206
S 22,189450,4510.504533829342,0.201171875,206
S 22,193751,4612.904533829343,0.201171875,206
S 22,198052,4715.304533829341,0.201171875,206
S 22,202353,4817.704533829342,0.201171875,206
S 22,206654,4920.104533829342,0.201171875,206
S 42,208594,4966.292862125087,2.095703125,2146
S 22,210955,5022.504533829342,0.201171875,206
S 22,215256,5124.904533829342,0.201171875,206
S 22,219557,5227.304533829342,0.201171875,206
S 22,223858,5329.704533829342,0.201171875,206
S 22,228159,5432.1045338293425,0.201171875,206
S 22,232460,5534.504533829342,0.201171875,206
S 22,236761,5636.904533829342,0.201171875,206
S 22,241062,5739.304533829342,0.201171875,206
S 22,245363,5841.704533829342,0.201171875,206
S 22,249664,5944.1045338293425,0.201171875,206
S 22,253965,6046.504533829342,0.201171875,206
S 22,258266,6148.904533829343,0.201171875,206
S 22,262567,6251.304533829342,0.201171875,206
S 22,266868,6353.704533829342,0.201171875,206
S 22,271169,6456.1045338293425,0.201171875,206
S 22,275470,6558.504533829343,0.201171875,206
S 22,279771,6660.904533829343,0.201171875,206
S 42,280634,6681.451197395954,1.0439453125,1069
S 22,284072,6763.304533829341,0.201171875,206
S 22,288373,6865.704533829341,0.201171875,206
S 22,292674,6968.104533829342,0.201171875,206
S 22,296975,7070.504533829342,0.201171875,206
S 42,297804,7090.241711229946,1.0107421875,1035
S 22,301276,7172.904533829342,0.201171875,206
S 42,302365,7198.831899558242,1.2646484375,1295
S 22,305577,7275.304533829341,0.201171875,206
S 22,309878,7377.704533829342,0.201171875,206
S 22,314179,7480.1045338293425,0.201171875,206
S 22,318480,7582.504533829342,0.201171875,206
S 22,322781,7684.904533829342,0.201171875,206
