Tipo_Evento,Tiempo_total_Sample,Tiempo_total_Segundos,Tiempo_Relativo_Epoca_Segundos,Tiempo_Relativo_Epoca_sample
S 11,206,4.9045338293420135,0.201171875,206
S 31,888,21.1418739827947,0.8671875,888
S 11,4507,107.30453382934202,0.201171875,206
S 31,5237,124.6846779818647,0.9140625,936
S 11,8808,209.704533829342,0.201171875,206
S 31,9474,225.56093931643804,0.8515625,872
S 11,13109,312.104533829342,0.201171875,206
S 31,13686,325.8419902348291,0.7646484375,783
S 11,17410,414.50453382934205,0.201171875,206
S 31,17943,427.1944199023483,0.7216796875,739
S 11,21711,516.9045338293421,0.201171875,206
S 31,22544,536.7369448965356,1.0146484375,1039
S 11,26012,619.3045338293421,0.201171875,206
S 31,26810,638.3036503138806,0.98046875,1004
S 11,30313,721.704533829342,0.201171875,206
S 31,30878,735.1562892350616,0.7529296875,771
S 11,34614,824.104533829342,0.201171875,206
S 31,35302,840.4847244826785,0.873046875,894
S 11,38915,926.5045338293421,0.201171875,206
S 31,39484,940.0515229016507,0.7568359375,775
S 11,43216,1028.904533829342,0.201171875,206
S 31,43865,1044.356196233434,0.8349609375,855
S 11,47517,1131.304533829342,0.201171875,206
S 31,48089,1144.9229481515927,0.759765625,778
S 11,51818,1233.704533829342,0.201171875,206
S 31,52552,1251.179911648454,0.91796875,940
S 11,56119,1336.104533829342,0.201171875,206
S 31,58273,1387.3878632876074,2.3046875,2360
S 11,60420,1438.5045338293419,0.201171875,206
S 31,61176,1456.5036968146944,0.939453125,962
S 11,64721,1540.904533829342,0.201171875,206
S 31,65422,1557.5942338990933,0.8857421875,907
S 11,69022,1643.304533829342,0.201171875,206
S 31,69799,1661.8036735642875,0.9599609375,983
S 11,73323,1745.704533829342,0.201171875,206
S 31,74085,1763.846547314578,0.9453125,968
S 11,77624,1848.104533829342,0.201171875,206
S 31,78418,1867.0084166472914,0.9765625,1000
S 11,81925,1950.504533829342,0.201171875,206
S 31,82611,1966.8371076493838,0.87109375,892
S 11,86226,2052.904533829342,0.201171875,206
S 31,87007,2071.4989072308763,0.9638671875,987
S 11,90527,2155.304533829342,0.201171875,206
S 31,91248,2172.4704022320393,0.9052734375,927
S 11,94828,2257.704533829342,0.201171875,206
S 31,95443,2272.346710067426,0.8017578125,821
S 11,99129,2360.104533829342,0.201171875,206
S 11,103430,2462.504533829342,0.201171875,206
S 31,104210,2481.075098814229,0.962890625,986
S 11,107731,2564.9045338293417,0.201171875,206
S 31,108383,2580.427621483376,0.837890625,858
S 11,112032,2667.304533829342,0.201171875,206
S 31,112683,2682.8038130667287,0.8369140625,857
S 11,116333,2769.704533829342,0.201171875,206
S 31,116858,2782.20395256917,0.7138671875,731
S 11,120634,2872.104533829342,0.201171875,206
S 31,121216,2885.961032318066,0.76953125,788
S 11,124935,2974.504533829342,0.201171875,206
S 31,125556,2989.28956056731,0.8076171875,827
S 11,129236,3076.904533829342,0.201171875,206
S 31,129768,3089.570611485701,0.720703125,738
S 11,133537,3179.3045338293423,0.201171875,206
S 31,134024,3190.899232736573,0.6767578125,693
S 11,137838,3281.704533829342,0.201171875,206
S 31,138404,3295.1800976517093,0.75390625,772
S 11,142139,3384.104533829342,0.201171875,206
S 31,142947,3403.3417344803534,0.990234375,1014
S 11,146440,3486.504533829342,0.201171875,206
S 11,150741,3588.904533829342,0.201171875,206
S 31,151298,3602.165821901883,0.7451171875,763
S 11,155042,3691.3045338293423,0.201171875,206
S 31,155757,3708.3275517321554,0.8994140625,921
S 11,159343,3793.7045338293424,0.201171875,206
S 31,160035,3810.179958149268,0.876953125,898
S 11,163644,3896.1045338293416,0.201171875,206
S 31,164507,3916.6511973959546,1.0439453125,1069
S 11,167945,3998.5045338293417,0.201171875,206
S 31,168688,4016.1941873982796,0.9267578125,949
S 11,172246,4100.904533829342,0.201171875,206
S 31,173181,4123.16540339456,1.1142578125,1141
S 11,176547,4203.304533829342,0.201171875,206
S 31,177370,4222.898860730063,1.0048828125,1029
S 41,180240,4291.229016507789,3.8076171875,3899
S 11,180848,4305.704533829342,0.201171875,206
S 31,181741,4326.965449895373,1.0732421875,1099
S 11,185149,4408.1045338293425,0.201171875,206
S 31,185801,4423.627621483376,0.837890625,858
S 11,189450,4510.504533829342,0.201171875,206
S 31,190327,4531.384515229016,1.0576171875,1083
S 11,193751,4612.904533829343,0.201171875,206
S 11,198052,4715.304533829341,0.201171875,206
S 31,198786,4732.779911648454,0.91796875,940
S 11,202353,4817.704533829342,0.201171875,206
S 31,203005,4833.227621483376,0.837890625,858
S 11,206654,4920.104533829342,0.201171875,206
S 31,207276,4934.913368983957,0.80859375,828
S 11,210955,5022.504533829342,0.201171875,206
S 11,215256,5124.904533829342,0.201171875,206
S 31,215830,5138.570564984887,0.76171875,780
S 11,219557,5227.304533829342,0.201171875,206
S 31,220074,5239.613485235991,0.7060546875,723
S 11,223858,5329.704533829342,0.201171875,206
S 31,224709,5349.965496396187,1.0322265625,1057
S 11,228159,5432.1045338293425,0.201171875,206
S 31,228777,5446.818135317369,0.8046875,824
S 11,232460,5534.504533829342,0.201171875,206
S 11,236761,5636.904533829342,0.201171875,206
S 31,237294,5649.594419902349,0.7216796875,739
S 11,241062,5739.304533829342,0.201171875,206
S 31,241576,5751.54205998605,0.703125,720
S 11,245363,5841.704533829342,0.201171875,206
S 31,245832,5852.870681236922,0.6591796875,675
S 11,249664,5944.1045338293425,0.201171875,206
S 31,250189,5956.60395256917,0.7138671875,731
S 11,253965,6046.504533829342,0.201171875,206
S 31,254717,6064.408463148105,0.935546875,958
S 11,258266,6148.904533829343,0.201171875,206
S 31,259021,6166.879888398047,0.9384765625,961
S 11,262567,6251.304533829342,0.201171875,206
S 31,263148,6265.137223901418,0.7685546875,787
S 11,266868,6353.704533829342,0.201171875,206
S 31,268394,6390.036177633109,1.69140625,1732
S 11,271169,6456.1045338293425,0.201171875,206
S 31,271778,6470.603859567543,0.7958984375,815
S 11,275470,6558.504533829343,0.201171875,206
S 31,276067,6572.718158567775,0.7841796875,803
S 11,279771,6660.904533829343,0.201171875,206
S 31,280339,6674.427714485003,0.755859375,774
S 11,284072,6763.304533829341,0.201171875,206
S 31,284935,6783.851197395954,1.0439453125,1069
S 11,288373,6865.704533829341,0.201171875,206
S 31,288958,6879.632457568007,0.7724609375,791
S 11,292674,6968.104533829342,0.201171875,206
S 31,293235,6981.461055568472,0.7490234375,767
S 11,296975,7070.504533829342,0.201171875,206
S 31,297549,7084.170564984887,0.76171875,780
S 11,301276,7172.904533829342,0.201171875,206
S 31,301883,7187.356242734248,0.7939453125,813
S 11,305577,7275.304533829341,0.201171875,206
S 31,306123,7288.303929318764,0.734375,752
S 11,309878,7377.704533829342,0.201171875,206
S 31,310339,7388.680213903743,0.6513671875,667
S 11,314179,7480.1045338293425,0.201171875,206
S 31,314743,7493.532480818415,0.751953125,770
S 11,318480,7582.504533829342,0.201171875,206
S 31,319078,7596.741966984422,0.78515625,804
S 11,322781,7684.904533829342,0.201171875,206
S 31,323415,7699.999069983724,0.8203125,840
S 11,327082,7787.304533829342,0.201171875,206
S 31,327683,7801.613392234364,0.7880859375,807
S 11,331383,7889.704533829343,0.201171875,206
S 31,331918,7902.442036735642,0.7236328125,741
S 11,335684,7992.1045338293425,0.201171875,206
S 31,336403,8009.222785398744,0.9033203125,925
S 11,339985,8094.504533829342,0.201171875,206
S 31,340639,8110.075238316671,0.83984375,860
S 11,344286,8196.904533829344,0.201171875,206
S 31,345045,8214.975122064636,0.9423828125,965
S 11,348587,8299.304533829341,0.201171875,206
S 31,349097,8311.446826319461,0.69921875,716
S 11,352888,8401.704533829341,0.201171875,206
S 31,353516,8416.65621948384,0.814453125,834
S 11,357189,8504.10453382934,0.201171875,206
S 31,358010,8523.651243896767,1.0029296875,1027
S 11,361490,8606.504533829342,0.201171875,206
S 31,362303,8625.86077656359,0.9951171875,1019
S 11,365791,8708.904533829342,0.201171875,206
S 31,366355,8722.332480818415,0.751953125,770
S 11,370092,8811.304533829341,0.201171875,206
S 31,370757,8827.137130899791,0.8505859375,871
S 11,374393,8913.704533829341,0.201171875,206
S 31,375281,8934.846407812136,1.068359375,1094
S 11,378694,9016.104533829342,0.201171875,206
S 31,379350,9031.722855149965,0.841796875,862
