Tipo_Evento,Tiempo_total_Sample,Tiempo_total_Segundos,Tiempo_Relativo_Epoca_Segundos,Tiempo_Relativo_Epoca_sample
S 21,206,4.9045338293420135,0.201171875,206
S 41,948,22.570378981632178,0.92578125,948
S 21,4507,107.30453382934202,0.201171875,206
S 41,5409,128.7797256451988,1.08203125,1108
S 21,8808,209.704533829342,0.201171875,206
S 41,9570,227.846547314578,0.9453125,968
S 21,13109,312.104533829342,0.201171875,206
S 41,14170,337.3652638921181,1.2373046875,1267
S 21,17410,414.50453382934205,0.201171875,206
S 41,18110,431.1704254824459,0.884765625,906
S 21,21711,516.9045338293421,0.201171875,206
S 41,22679,539.9510811439201,1.146484375,1174
S 21,26012,619.3045338293421,0.201171875,206
S 41,26613,633.613392234364,0.7880859375,807
S 21,30313,721.704533829342,0.201171875,206
S 41,31435,748.4175773076029,1.296875,1328
S 21,34614,824.104533829342,0.201171875,206
S 41,35570,846.8653801441525,1.134765625,1162
S 21,38915,926.5045338293421,0.201171875,206
S 41,39618,943.2418507323878,0.8876953125,909
S 21,43216,1028.904533829342,0.201171875,206
S 41,44227,1052.9748430597535,1.1884765625,1217
S 21,47517,1131.304533829342,0.201171875,206
S 41,48435,1153.1606603115554,1.09765625,1124
S 21,51818,1233.704533829342,0.201171875,206
S 41,54174,1289.7971634503604,2.501953125,2562
S 21,56119,1336.104533829342,0.201171875,206
S 41,57496,1368.8887235526622,1.5458984375,1583
S 21,60420,1438.5045338293419,0.201171875,206
S 41,61757,1470.3363868867705,1.5068359375,1543
S 21,64721,1540.904533829342,0.201171875,206
S 41,65680,1563.7368053940945,1.1376953125,1165
S 21,69022,1643.304533829342,0.201171875,206
S 41,69121,1645.6615670774238,0.2978515625,305
S 21,73323,1745.704533829342,0.201171875,206
S 41,74181,1766.1321553127182,1.0390625,1064
S 41,77307,1840.5572657521507,4.091796875,4190
S 21,77624,1848.104533829342,0.201171875,206
S 41,78627,1871.9843757265753,1.1806640625,1209
S 21,81925,1950.504533829342,0.201171875,206
S 41,83499,1987.9789816321786,1.73828125,1780
S 21,86226,2052.904533829342,0.201171875,206
S 41,87089,2073.4511973959548,1.0439453125,1069
S 21,90527,2155.304533829342,0.201171875,206
S 41,91462,2177.5654033945593,1.1142578125,1141
S 21,94828,2257.704533829342,0.201171875,206
S 41,95680,2277.9893048128342,1.033203125,1058
S 21,99129,2360.104533829342,0.201171875,206
S 41,100187,2385.293838642176,1.234375,1264
S 21,103430,2462.504533829342,0.201171875,206
S 41,104218,2481.2655661474073,0.970703125,994
S 21,107731,2564.9045338293417,0.201171875,206
S 41,108408,2581.0228318995582,0.8623046875,883
S 21,112032,2667.304533829342,0.201171875,206
S 41,113113,2693.041432225064,1.2568359375,1287
S 21,116333,2769.704533829342,0.201171875,206
S 41,117045,2786.6561264822135,0.896484375,918
S 21,120634,2872.104533829342,0.201171875,206
S 41,121636,2895.960567309928,1.1796875,1208
S 21,124935,2974.504533829342,0.201171875,206
S 41,126315,3007.360148802604,1.548828125,1586
S 21,129236,3076.904533829342,0.201171875,206
S 41,129957,3094.0704022320388,0.9052734375,927
S 21,133537,3179.3045338293423,0.201171875,206
S 41,134746,3208.0889095559173,1.3818359375,1415
S 21,137838,3281.704533829342,0.201171875,206
S 41,138742,3303.2273424784935,1.083984375,1110
S 21,142139,3384.104533829342,0.201171875,206
S 41,143045,3405.674959311788,1.0859375,1112
S 21,146440,3486.504533829342,0.201171875,206
S 41,147339,3507.908300395257,1.0791015625,1105
S 21,150741,3588.904533829342,0.201171875,206
S 41,151243,3600.8563589862824,0.69140625,708
S 21,155042,3691.3045338293423,0.201171875,206
S 41,156397,3723.564938386422,1.5244140625,1561
S 41,158837,3781.6574750058126,3.9072265625,4001
S 21,159343,3793.7045338293424,0.201171875,206
S 41,160770,3827.6791443850266,1.5947265625,1633
S 21,163644,3896.1045338293416,0.201171875,206
S 41,164413,3914.4132062311096,0.9521484375,975
S 21,167945,3998.5045338293417,0.201171875,206
S 41,169526,4036.1456405487097,1.7451171875,1787
S 21,172246,4100.904533829342,0.201171875,206
